2539,,40.64749,,-73.97237,,149,,9,,365
2595,,40.75362,,-73.98377,,225,,45,,355
3647,,40.80902,,-73.9419,,150,,0,,365
3831,,40.68514,,-73.95976,,89,,270,,194
5022,,40.79851,,-73.94399,,80,,9,,0
5099,,40.74767,,-73.975,,200,,74,,129
5121,,40.68688,,-73.95596,,60,,49,,0
5178,,40.76489,,-73.98493,,79,,430,,220
5203,,40.80178,,-73.96723,,79,,118,,0
5238,,40.71344,,-73.99037,,150,,160,,188
5295,,40.80316,,-73.96545,,135,,53,,6
5441,,40.76076,,-73.98867,,85,,188,,39
5803,,40.66829,,-73.98779,,89,,167,,314
6021,,40.79826,,-73.96113,,85,,113,,333
6090,,40.7353,,-74.00525,,120,,27,,0
6848,,40.70837,,-73.95352,,140,,148,,46
7097,,40.69169,,-73.97185,,215,,198,,321
7322,,40.74192,,-73.99501,,140,,260,,12
7726,,40.67592,,-73.94694,,99,,53,,21
7750,,40.79685,,-73.94872,,190,,0,,249
7801,,40.71842,,-73.95718,,299,,9,,0
8024,,40.68069,,-73.97706,,130,,130,,347
8025,,40.67989,,-73.97798,,80,,39,,364
8110,,40.68001,,-73.97865,,110,,71,,304
8490,,40.68371,,-73.94028,,120,,88,,233
8505,,40.65599,,-73.97519,,60,,19,,85
8700,,40.86754,,-73.92639,,80,,0,,0
9357,,40.76715,,-73.98533,,150,,58,,75
9518,,40.86482,,-73.92106,,44,,108,,311
9657,,40.7292,,-73.98542,,180,,29,,67
9668,,40.82245,,-73.95104,,50,,242,,355
9704,,40.81305,,-73.95466,,52,,88,,255
9782,,40.72219,,-73.93762,,55,,197,,284
9783,,40.8213,,-73.95318,,50,,273,,359
10452,,40.6831,,-73.95473,,70,,74,,269
10962,,40.66869,,-73.9878,,89,,168,,340
11452,,40.68876,,-73.94312,,35,,0,,365
11708,,40.70186,,-73.92745,,85,,231,,22
11943,,40.63702,,-73.96327,,150,,0,,365
12048,,40.71401,,-73.98917,,40,,214,,188
12192,,40.7229,,-73.98199,,68,,245,,96
12299,,40.66278,,-73.97966,,120,,15,,345
12303,,40.69673,,-73.97584,,120,,25,,311
12318,,40.79009,,-73.97927,,135,,81,,273
12343,,40.81175,,-73.94478,,150,,97,,309
12627,,40.65944,,-73.96238,,150,,11,,95
12937,,40.74771,,-73.9474,,130,,248,,215
12940,,40.68111,,-73.95591,,110,,61,,265
13050,,40.68554,,-73.9409,,115,,11,,0
13394,,40.69142,,-73.97376,,80,,135,,192
13808,,40.68043,,-73.93934,,80,,112,,251
14287,,40.78635,,-73.97008,,151,,73,,302
14290,,40.7042,,-73.9356,,228,,82,,140
14314,,40.73506,,-73.95392,,144,,328,,234
14322,,40.73961,,-73.98074,,200,,19,,257
14377,,40.70881,,-73.9593,,150,,105,,30
14991,,40.72004,,-73.99104,,110,,19,,301
15220,,40.75531,,-73.99293,,69,,289,,294
15338,,40.72401,,-73.93788,,49,,138,,320
15341,,40.7221,,-73.99775,,180,,21,,154
15385,,40.71185,,-73.96204,,80,,42,,263
15396,,40.74623,,-73.9953,,375,,5,,180
15711,,40.77065,,-73.95269,,250,,66,,231
16326,,40.67811,,-73.96428,,200,,143,,297
16338,,40.69,,-73.96788,,55,,27,,292
16421,,40.75979,,-73.99119,,52,,191,,191
16458,,40.67343,,-73.98338,,225,,4,,0
16580,,40.72649,,-73.97904,,80,,338,,72
16595,,40.70933,,-73.96792,,275,,148,,362
16821,,40.72298,,-73.98474,,99,,106,,336
16974,,40.80164,,-73.93922,,225,,190,,215
17037,,40.72162,,-73.98008,,230,,49,,116
17092,,40.76342,,-73.98865,,51,,23,,88
17693,,40.83139,,-73.94095,,65,,49,,336
17747,,40.68346,,-73.96374,,105,,105,,304
18127,,40.72828,,-73.98801,,190,,21,,224
18152,,40.76865,,-73.95058,,200,,142,,322
18198,,40.75038,,-73.90334,,70,,25,,324
18590,,40.6932,,-73.97267,,95,,143,,132
18728,,40.74138,,-74.00197,,150,,167,,295
18764,,40.71154,,-73.96112,,145,,61,,238
19159,,40.82915,,-73.95136,,110,,54,,209
19169,,40.71851,,-73.98892,,285,,70,,328
19282,,40.65401,,-73.96323,,130,,16,,38
19319,,40.7114,,-73.98794,,94,,94,,188
19601,,40.69723,,-73.99268,,800,,25,,7
19812,,40.71833,,-73.95748,,105,,61,,272
20299,,40.72334,,-73.9844,,60,,194,,26
20300,,40.72912,,-73.98057,,50,,2,,0
20611,,40.71156,,-73.96218,,85,,174,,288
20724,,40.70032,,-73.9383,,65,,24,,317
20734,,40.68233,,-73.97261,,131,,166,,207
20755,,40.68634,,-73.966,,98,,16,,185
20853,,40.68035,,-73.97162,,250,,21,,158
20913,,40.70984,,-73.95775,,100,,168,,0
21293,,40.70093,,-73.92609,,105,,118,,9
21456,,40.79764,,-73.96177,,140,,81,,198
21644,,40.82803,,-73.94731,,89,,1,,365
21794,,40.74008,,-74.00271,,98,,30,,364
22911,,40.68413,,-73.92357,,125,,139,,311
22918,,40.82279,,-73.95139,,60,,11,,219
23135,,40.67967,,-74.00154,,175,,233,,342
23501,,40.83927,,-73.94281,,65,,68,,312
23686,,40.73096,,-74.00319,,500,,46,,243
24143,,40.71332,,-73.94177,,101,,335,,152
24285,,40.66941,,-73.98109,,220,,88,,9
25235,,40.68373,,-73.92377,,125,,162,,137
25406,,40.71459,,-73.94844,,80,,29,,222
25696,,40.8092,,-73.94421,,100,,170,,346
26012,,40.68157,,-73.98989,,200,,19,,208
26362,,40.75527,,-73.99291,,59,,334,,279
26520,,40.68698,,-73.96572,,125,,19,,250
26559,,40.7288,,-73.98192,,140,,12,,164
26785,,40.66853,,-73.98912,,120,,467,,192
26933,,40.7254,,-73.98157,,350,,7,,298
26954,,40.74294,,-73.98009,,199,,38,,260
26969,,40.71942,,-73.95748,,325,,324,,107
27006,,40.77823,,-73.97637,,235,,27,,199
27385,,40.72555,,-73.97965,,225,,115,,299
27531,,40.66831,,-73.98604,,99,,354,,20
27644,,40.82754,,-73.94919,,170,,195,,318
27659,,40.66499,,-73.97925,,400,,16,,216
27759,,40.77842,,-73.97556,,170,,13,,224
27883,,40.72245,,-73.98527,,100,,25,,0
28321,,40.65593,,-73.96053,,75,,9,,324
28396,,40.71923,,-73.96468,,90,,9,,245
28907,,40.778,,-73.94822,,150,,21,,189
29012,,40.85879,,-73.93128,,85,,36,,307
29013,,40.68332,,-73.9547,,70,,63,,310
29455,,40.81618,,-73.94894,,120,,155,,213
29628,,40.68414,,-73.96351,,89,,260,,278
29683,,40.72392,,-73.99143,,185,,73,,209
30031,,40.73494,,-73.9503,,50,,193,,0
30927,,40.71341,,-73.98856,,105,,32,,16
31130,,40.76754,,-73.98399,,130,,50,,234
31555,,40.73442,,-74.00303,,115,,26,,12
31902,,40.63188,,-73.93248,,77,,2,,178
31994,,40.6873,,-73.9634,,76,,426,,275
32023,,40.68296,,-73.93662,,125,,227,,163
32037,,40.6863,,-73.96765,,135,,84,,365
32100,,40.73409,,-73.95348,,250,,3,,34
32289,,40.71561,,-73.94835,,199,,10,,280
32331,,40.6857,,-73.99183,,140,,4,,0
32363,,40.74028,,-73.83168,,140,,1,,1
32965,,40.68281,,-73.93524,,115,,124,,170
32969,,40.71596,,-73.93938,,160,,11,,188
33009,,40.71492,,-73.95935,,195,,240,,214
33014,,40.72354,,-73.98295,,195,,30,,248
33223,,40.71165,,-73.96087,,80,,200,,262
34760,,40.69101,,-73.97312,,44,,27,,280
35526,,40.73474,,-74.00101,,156,,79,,307
36121,,40.67386,,-73.96641,,85,,9,,339
36133,,40.71536,,-73.96057,,125,,155,,1
36442,,40.6741,,-73.96595,,115,,4,,269
36647,,40.79295,,-73.93997,,69,,34,,10
36703,,40.73226,,-74.00401,,225,,134,,312
36934,,40.71363,,-73.96398,,125,,27,,189
38638,,40.77711,,-73.9527,,219,,126,,290
38663,,40.68559,,-73.98094,,475,,23,,230
39267,,40.77456,,-73.95323,,99,,234,,164
39282,,40.71088,,-73.95055,,69,,202,,53
39593,,40.74559,,-73.92313,,79,,28,,126
39704,,40.68306,,-73.94659,,135,,309,,3
40039,,40.70207,,-73.98571,,250,,14,,189
40453,,40.76123,,-73.9642,,250,,4,,365
41348,,40.66858,,-73.99083,,250,,80,,0
41513,,40.82704,,-73.94907,,80,,2,,0
42580,,40.68843,,-73.96408,,70,,294,,336
42729,,40.6783,,-74.00135,,165,,150,,342
42882,,40.64524,,-74.08088,,70,,166,,312
43957,,40.70641,,-73.91765,,50,,47,,37
44096,,40.83232,,-73.93184,,40,,219,,353
44161,,40.71045,,-73.9677,,150,,193,,177
44212,,40.72518,,-73.98034,,125,,84,,310
44221,,40.70666,,-74.01374,,196,,114,,0
44229,,40.69098,,-73.97113,,110,,213,,321
44288,,40.73756,,-74.00405,,170,,86,,246
44506,,40.81526,,-73.94791,,165,,80,,231
45393,,40.73423,,-74.0046,,150,,38,,225
45542,,40.82374,,-73.9373,,100,,18,,0
45556,,40.68863,,-73.97691,,65,,206,,0
45910,,40.70382,,-73.89797,,350,,10,,365
45936,,40.80549,,-73.95924,,99,,122,,233
45940,,40.71627,,-73.9587,,200,,33,,1
46544,,40.67994,,-73.97863,,150,,52,,18
46723,,40.67992,,-73.9475,,90,,126,,343
46911,,40.67868,,-73.97307,,120,,51,,250
47199,,40.76834,,-73.95334,,75,,199,,326
47362,,40.68237,,-73.9415,,175,,30,,364
47370,,40.74031,,-73.99999,,125,,3,,0
47926,,40.76307,,-73.99665,,275,,41,,299
48719,,40.71882,,-73.98852,,299,,109,,207
50447,,40.6693,,-73.98804,,135,,151,,162
51438,,40.77333,,-73.95199,,130,,0,,0
51485,,40.72319,,-73.99201,,83,,285,,7
51572,,40.74859,,-73.99671,,123,,375,,328
51850,,40.67252,,-73.76597,,55,,52,,365
53137,,40.76244,,-73.99271,,195,,10,,0
53196,,40.69546,,-73.93503,,80,,11,,0
53469,,40.71722,,-73.87856,,98,,33,,240
53470,,40.70234,,-73.89816,,140,,6,,365
53477,,40.71546,,-73.87854,,265,,38,,365
54158,,40.7195,,-73.95976,,249,,358,,164
54453,,40.76548,,-73.98474,,105,,10,,363
54466,,40.80234,,-73.95603,,200,,0,,365
54508,,40.6787,,-73.97262,,100,,226,,250
54544,,40.81035,,-73.94598,,121,,104,,247
54626,,40.83075,,-73.93058,,45,,138,,323
54860,,40.79958,,-73.94275,,100,,204,,192
55467,,40.71625,,-73.93845,,140,,253,,125
55498,,40.6829,,-73.93549,,71,,23,,91
55668,,40.72773,,-73.99134,,130,,115,,75
55737,,40.72861,,-74.0049,,199,,129,,286
55959,,40.70979,,-73.95162,,69,,82,,60
55982,,40.68656,,-73.97525,,68,,37,,0
56467,,40.72752,,-73.98432,,130,,204,,192
56525,,40.729,,-73.95829,,195,,69,,58
56859,,40.81219,,-73.94499,,64,,192,,245
57166,,40.77185,,-73.90502,,140,,17,,292
57297,,40.68926,,-73.99386,,159,,222,,279
57468,,40.72821,,-73.98701,,189,,205,,0
57618,,40.7672,,-73.98508,,250,,94,,3
57740,,40.73012,,-73.99053,,239,,7,,351
57754,,40.7403,,-73.98498,,305,,108,,201
57874,,40.80931,,-73.94343,,155,,222,,232
58059,,40.8251,,-73.94287,,60,,458,,258
58062,,40.6585,,-73.98397,,135,,21,,272
58467,,40.76193,,-73.9501,,120,,17,,341
59014,,40.72052,,-73.98589,,150,,41,,244
59121,,40.70411,,-73.89934,,140,,1,,365
59642,,40.73401,,-73.95967,,135,,69,,12
59709,,40.71756,,-73.99503,,250,,18,,265
59855,,40.7589,,-73.96991,,250,,82,,0
60164,,40.72003,,-74.00262,,500,,94,,329
60457,,40.73194,,-73.99474,,225,,10,,91
60611,,40.79163,,-73.94573,,125,,183,,365
60666,,40.8118,,-73.94434,,92,,189,,253
60673,,40.81583,,-73.94707,,175,,1,,365
60680,,40.72654,,-73.98049,,99,,127,,320
60794,,40.80021,,-73.96071,,195,,4,,0
60948,,40.80942,,-73.93936,,140,,135,,192
61167,,40.71961,,-73.9954,,135,,21,,0
61224,,40.74358,,-74.00027,,500,,35,,348
61406,,40.80335,,-73.9575,,80,,10,,0
61492,,40.71445,,-73.9908,,120,,171,,353
61509,,40.75749,,-73.96897,,110,,92,,140
62095,,40.64446,,-73.9503,,65,,238,,2
62427,,40.7268,,-73.99079,,130,,56,,56
62430,,40.688,,-73.9171,,99,,111,,68
62452,,40.63536,,-74.08537,,36,,193,,360
62461,,40.63627,,-74.08543,,37,,147,,0
62787,,40.63518,,-74.08546,,37,,177,,320
62891,,40.72477,,-73.98161,,175,,185,,326
62903,,40.74238,,-73.99567,,205,,62,,76
62925,,40.72945,,-73.95511,,285,,124,,279
63299,,40.70763,,-73.95177,,59,,181,,15
63320,,40.63481,,-74.08519,,36,,333,,340
63360,,40.75384,,-73.91433,,99,,441,,226
